name	category	price	rating	url	description
Подушечки клеевые, двусторонние, квадратные, размер 1 шт. — 0.5×0.5 см	Принадлежности для творчества	49	4.9	https://www.sima-land.ru/1565745/podushechki-kleevye-dvustoronnie-kvadratnye-razmer-1-sht-0-5-0-5-cm/	Клеевые двухсторонние подушечки — это необходимый инструмент для любителей скрапбукинга и других видов творчества. Они выполнены из мягкого и прочного EVA-материала и бумаги. Подушечки очень просты в использовании: отделите их от основы, снимите защитный слой и приклейте к необходимой поверхности. Они подходят для закрепления фотографий, бумаги и других декоративных элементов. Особенности
Шар декоративный из лианы, набор 5 шт., размер 1 шт. — 3 см, цвет белый	Принадлежности для творчества	159	5	https://www.sima-land.ru/9192474/shar-dekorativnyy-iz-liany-nabor-5-sht-razmer-1-sht-3-cm-cvet-belyy/	Декоративный шар из лианы — прекрасный элемент для создания уютного и природного декора. В набор входят пять белых шаров, изготовленных из дерева, которые подойдут для оформления интерьера, создания композиций или использования в креативных проектах. Особенности
Фигурка для поделок и декорирования «Шарик» набор 30 шт., размер 1 шт: 1,5 × 1,5 см	Принадлежности для творчества	178	5	https://www.sima-land.ru/511695/figurka-dlya-podelok-i-dekorirovaniya-sharik-nabor-30-sht-razmer-1-sht-1-5-1-5-cm/	Фигурка из пенопласта используется в качестве заготовки для творчества. Такую основу можно декорировать в различных техниках: декупаж, кракелюр, художественная роспись (акриловыми красками на водной основе) и роспись универсальными контурами, мозаика, позолота и т. д.
Набор для опытов «Мой мини-сад: Динозаврики», вырасти травку	Опыты	265	5	https://www.sima-land.ru/7562842/nabor-dlya-opytov-moy-mini-sad-dinozavriki-vyrasti-travku/	Набор для опытов «Мой мини-сад: Динозаврики» станет прекрасным способом занять детей и показать им процесс прорастания семян. Ребёнок самостоятельно вырастит декоративную травку в домашних условиях и научится ухаживать за растением. Особенности Как использовать набор Набор рекомендован детям от 3 лет.
Набор для опытов, для детей «Пташки, выращиваем травку», растение в жёлтом горшочке	Опыты	194	5	https://www.sima-land.ru/5155391/nabor-dlya-opytov-dlya-detey-ptashki-vyraschivaem-travku-rastenie-v-zheltom-gorshochke/	Набор для опытов «Выращиваем травку» станет прекрасным способом занять детей и показать им процесс прорастания семян. Ребёнок самостоятельно вырастит декоративную травку в домашних условиях и научится ухаживать за растением. Познакомьте ребёнка с волшебным миром ботаники! Особенности Инструкция Набор рекомендован детям от 4 лет.
Раскраски для девочек набор «Для маленьких принцесс», 8 шт. по 12 стр.	Детские книги	251	5	https://www.sima-land.ru/4330586/raskraski-dlya-devochek-nabor-dlya-malenkih-princess-8-sht-po-12-str/	Набор раскрасок «Для маленьких принцесс» — это не просто набор, а захватывающее приключение в мир творчества для вашей маленькой леди! Вместе с принцессами, феями, лошадками и котиками малышка окунётся в сказочный мир, придумает истории, развивая при этом множество полезных навыков. Преимущества Рекомендовано для детей старше 3 лет.
Раскраски набор «Мои первые раскраски», 12 шт. по 16 стр.	Детские книги	438	5	https://www.sima-land.ru/2656396/raskraski-nabor-moi-pervye-raskraski-12-sht-po-16-str/	Набор «Мои первые раскраски» поможет малышу освоить новый вид творчества. В наборе собраны раскраски различной тематики: Особенности раскраски Польза пальчикового рисования Рекомендуется детям от 5 лет.
Лента «Георгиевская» репсовая, 25 мм, 23 ± 1 м	Ленты	229	4.9	https://www.sima-land.ru/2834729/lenta-georgievskaya-repsovaya-25-mm-23-1-m/	Георгиевская лента — главный атрибут Дня Победы. 9 мая миллионы людей прикрепляют ленточки и отправляются праздновать освобождение от фашистских захватчиков. Георгиевская лента объединила людей и стала знаком благодарности за мирное небо над головой. Каждый год 9 мая мы крепим георгиевские ленточки, чтобы проявить уважение к воинам и показать, что память об их подвиге жива.  К сожалению, некоторые воспринимают символ Победы как украшение и крепят его куда хотят. Организаторы акции «Георгиевская ленточка» призывают носить ленту у сердца — как награду и знак памяти. Закрепить её можно в виде банта или петельки.
Набор для опытов «Мой мини-сад: Пони», вырасти травку	Опыты	280	5	https://www.sima-land.ru/7562843/nabor-dlya-opytov-moy-mini-sad-poni-vyrasti-travku/	Набор для опытов «Мой мини-сад: Пони» станет прекрасным способом занять детей и показать им процесс прорастания семян. Ребёнок самостоятельно вырастит декоративную травку в домашних условиях и научится ухаживать за растением. Особенности Как использовать набор Набор рекомендован детям от 3 лет.
Раскраски «Для девочек», набор 8 шт. по 12 стр.	Детские книги	251	5	https://www.sima-land.ru/5214449/raskraski-dlya-devochek-nabor-8-sht-po-12-str/	Набор раскрасок «Для девочек» поможет провести время творчески и потренировать важные навыки. Особенности набора Чем полезно раскрашивание для детей Занимаясь таким творчеством, ребёнок не только учится уверенно держать карандаш в руке, но и развивает наблюдательность, мелкую моторику, воображение и художественный вкус.
Набор для опытов, для детей «Котики. Выращиваем травку», растение в фиолетовом горшочке	Опыты	277	5	https://www.sima-land.ru/9415586/nabor-dlya-opytov-dlya-detey-kotiki-vyraschivaem-travku-rastenie-v-fioletovom-gorshochke/	Набор для опытов «Выращиваем травку» станет прекрасным способом занять детей и показать им процесс прорастания семян. Ребёнок самостоятельно вырастит декоративную травку в домашних условиях и научится ухаживать за растением. Познакомьте ребёнка с волшебным миром ботаники! Особенности Инструкция Набор рекомендован детям от 4 лет.
