name	category	price	rating	url	description
Альбом для рисования А4, 32 листа, на гребне «Смешарики»	Бумага и бумажная продукция	78	0	https://www.sima-land.ru/10248914/albom-dlya-risovaniya-a4-32-lista-na-grebne-cmeshariki/	
Магнит-раскраска многоразовая «Цифры», 21 × 29,7 см	Рисование	49	5	https://www.sima-land.ru/10249388/magnit-raskraska-mnogorazovaya-cifry-21-29-7-cm/	Магнит-раскраска - это уникальная развивающая заготовка для детей и взрослых. Заготовка представляет собой магнит с контуром рисунка, который можно раскрасить фломастерами. При этом, если рисунок захочется изменить, его можно легко стереть и заново раскрасить. Таким образом, вы можете наслаждаться творчеством и создавать уникальные картины снова и снова, не ограничивая себя в выборе цветов и дизайна. Основные характеристики магнита-раскраски: Учитывайте, что товар поставляется без комплектации для росписи, поэтому фломастеры не входят в комплект и должны быть приобретены отдельно.
Искусственное растение для творчества пластик "Цветущая яблоня" 6 см	Принадлежности для творчества	39	0	https://www.sima-land.ru/10267837/iskusstvennoe-rastenie-dlya-tvorchestva-plastik-cvetuschaya-yablonya-6-cm/	
Веточка зелени, набор 3 шт., размер 1 шт. — 13 × 4 × 4 см	Принадлежности для творчества	19	5	https://www.sima-land.ru/10299297/vetochka-zeleni-nabor-3-sht-razmer-1-sht-13-4-4-cm/	
Бусина для творчества пластик "Сердечко цветное, перламутровое" МИКС 2,1х1,6х0,9 см	Принадлежности для творчества	10.4	0	https://www.sima-land.ru/10318948/busina-dlya-tvorchestva-plastik-serdechko-cvetnoe-perlamutrovoe-miks-2-1h1-6h0-9-cm/	
Цветные карандаши, 12цв мини, шестигранные БукиБяки	Принадлежности для рисования	69	5	https://www.sima-land.ru/10320706/cvetnye-karandashi-12cv-mini-shestigrannye-bukibyaki/	
Подвеска для творчества акрил "Коктейль. Мята-кошка" светится в темноте 3,4х1,8х1,8 см	Принадлежности для творчества	36.5	5	https://www.sima-land.ru/10321663/podveska-dlya-tvorchestva-akril-kokteyl-myata-koshka-svetitsya-v-temnote-3-4h1-8h1-8-cm/	
Подвеска для творчества акрил "Хвост русалочки" перламутр 4,4х2,8х0,5 см	Принадлежности для творчества	22	4.7	https://www.sima-land.ru/10321665/podveska-dlya-tvorchestva-akril-hvost-rusalochki-perlamutr-4-4h2-8h0-5-cm/	
Наклейки для подарков и цветов «От всей души», цветы, винил, 9.3 х 16 см	Флористика	17.6	5	https://www.sima-land.ru/10327967/nakleyki-dlya-podarkov-i-cvetov-ot-vsey-dushi-cvety-vinil-9-3-h-16-cm/	
Наклейки для обуви, именные, 6 пар, 2.8×5 см, белые	Обувь	12	0	https://www.sima-land.ru/10330939/nakleyki-dlya-obuvi-imennye-6-par-2-8-5-cm-belye/	Решите проблему с поиском одинаковых пар обуви в детском саду или спортзале с набором наклеек на стельки. Шесть пар аккуратных белых наклеек размером 2.8×5 см помогут быстро идентифицировать обувь и сохранить её в целости. Самоклеящаяся основа из качественной бумаги обеспечивает простое нанесение и надежное крепление к различным поверхностям - от текстиля до гладкой кожи. Четкие линии и ровные края каждого стикера выглядят аккуратно и эстетично. Этот набор станет незаменимым помощником для родителей, чьи дети посещают детские спортивные секции или места где требуется сменная обувь, а также пригодится в спортивных секциях и лагерях. Простое решение, которое избавит от лишних хлопот и сохранит обувь в порядке!
