name	category	price	rating	url	description
Наклейка пластик стразы "Цветные точки" МИКС 30,5х7,4 см	Принадлежности для творчества	57	5	https://www.sima-land.ru/5148773/nakleyka-plastik-strazy-cvetnye-tochki-miks-30-5h7-4-cm/	
Бусины для творчества пластик "Смайлики на кубике" белые набор 20 гр 0,6х0,6 см	Принадлежности для творчества	24.8	5	https://www.sima-land.ru/5194186/businy-dlya-tvorchestva-plastik-cmayliki-na-kubike-belye-nabor-20-gr-0-6h0-6-cm/	
Топпер для торта «С днём рождения», чёрно-золотой	Оформление и организация праздника	25	4.6	https://www.sima-land.ru/5389820/topper-dlya-torta-s-dnem-rozhdeniya-cherno-zolotoy/	Подготовка к праздникам — это весьма непростое занятие, которое требует много времени. Подчеркнуть особую атмосферу торжества помогут наши топперы. Просто вставьте их в сладкое угощение или букет цветов, и они добавят яркости вашему мероприятию и сделают его запоминающимся.
Набор джинсовых пуговиц, 17 мм, 6 шт, с установщиком, цвет серебряный	Фурнитура для одежды	108	4.9	https://www.sima-land.ru/5307376/nabor-dzhinsovyh-pugovic-17-mm-6-sht-s-ustanovschikom-cvet-serebryanyy/	
Декор для творчества пластик "Полужемчужина цветн. перламутр" набор40 шт 1,4х1,4х0,4 см	Принадлежности для творчества	43.5	5	https://www.sima-land.ru/5448958/dekor-dlya-tvorchestva-plastik-poluzhemchuzhina-cvetn-perlamutr-nabor40-sht-1-4h1-4h0-4-cm/	
Набор трафаретов для 3Д ручек «Динозавры»	Рисование	119	5	https://www.sima-land.ru/5541227/nabor-trafaretov-dlya-3d-ruchek-dinozavry/	Трафареты для 3D-рисования позволяют по контуру создавать объёмные фигурки. На каждом листе есть инструкция. Советы по использованию трафаретов Рекомендовано для детей от 3 лет.
Термоаппликация «Мишка с шариками», 5.8×6 см, фасовка 10 шт., разноцветная	Декоративные элементы для одежды	12	5	https://www.sima-land.ru/5573099/termoapplikaciya-mishka-s-sharikami-5-8-6-cm-fasovka-10-sht-raznocvetnaya/	
Термоаппликация «Обезьяна в очках», 9×7 см, фасовка 5 шт., чёрная	Декоративные элементы для одежды	25	5	https://www.sima-land.ru/5600092/termoapplikaciya-obezyana-v-ochkah-9-7-cm-fasovka-5-sht-chernaya/	
Альбом для рисования А5, 40 листов на скрепке "Коллаж", обложка мелованный картон, блок 100 г/м²	Бумага и бумажная продукция	21.9	5	https://www.sima-land.ru/5666564/albom-dlya-risovaniya-a5-40-listov-na-skrepke-kollazh-oblozhka-melovannyy-karton-blok-100-g-m/	
Набор бисера для плетения круглый «Арт Узор. Меланжевые цвета», 8 цветов × 10 г, для рукоделия	Плетение	101	5	https://www.sima-land.ru/6074983/nabor-bisera-dlya-pleteniya-kruglyy-art-uzor-melanzhevye-cveta-8-cvetov-10-g-dlya-rukodeliya/	
Бисер круглый "Оттенки розового" 6 цветов х 10 грамм	Плетение	102	4.8	https://www.sima-land.ru/6074988/biser-kruglyy-ottenki-rozovogo-6-cvetov-h-10-gramm/	
Бисер круглый 6/0 в бутылочке "Разноцветный" прозрачно-цветной 20 гр	Плетение	33.6	5	https://www.sima-land.ru/6075174/biser-kruglyy-6-0-v-butylochke-raznocvetnyy-prozrachno-cvetnoy-20-gr/	
Бусины для творчества пластик "Английские цветные буквы" прозрачные набор 20 гр 0,6х1х1 см	Принадлежности для творчества	35.5	5	https://www.sima-land.ru/6116766/businy-dlya-tvorchestva-plastik-angliyskie-cvetnye-bukvy-prozrachnye-nabor-20-gr-0-6h1h1-cm/	
