name	category	price	rating	url	description
Термоаппликация «Бабочка», с пайетками, 15×12 см, чёрная, розовая	Декоративные элементы для одежды	62	5	https://www.sima-land.ru/3022230/termoapplikaciya-babochka-s-payetkami-15-12-cm-chernaya-rozovaya/	Термоаппликация «Бабочка» — это яркая текстильая наклейка, которая легко прикрепляется к ткани с помощью утюга. Идеально подходят для декорирования одежды, аксессуаров и других текстильных изделий.
Кнопки пришивные, декоративные, 15 × 15 мм, 5 шт, цвет белый	Фурнитура для одежды	84	4.8	https://www.sima-land.ru/3026005/knopki-prishivnye-dekorativnye-15-15-mm-5-sht-cvet-belyy/	Декоративные кнопки помогут украсить любое изделие из лёгкой ткани. Используйте их при пошиве блузок, рубашек или летних платьев. Металлические застёжки прочные, износостойкие и удобные в применении — пришиваются к одежде обычными нитками. Изделия характеризуются высокой детализацией и качественным исполнением.
Коробка на 6 капкейков с окном, крафт, 25×17×10 см	Пищевая упаковка	72	4.9	https://www.sima-land.ru/3639334/korobka-na-6-kapkeykov-s-oknom-kraft-25-17-10-cm/	Коробочка для капкейков - это отличный вариант оригинально преподнести сладкий подарок знакомым, друзьям, близким. Благодаря прозрачному окошку получатель сразу может оценить аккуратный и эстетический вид кондитерского изделия. Преимущества:
Овал-карабин, 4,8 × 2,9 см / 38 × 5 мм, 5 шт, цвет золотой	Фурнитура для сумок	185	4.5	https://www.sima-land.ru/3780104/oval-karabin-4-8-2-9-cm-38-5-mm-5-sht-cvet-zolotoy/	Овал-карабин используется для быстрого и удобного крепления различных предметов, таких как ремни, цепочки или подвески. Кольцо-карабин выполнено из прочного металла, что делает его надёжным и долговечным. 
Игольница магнитная, d=10.5 см, МИКС	Принадлежности для шитья	203	4.8	https://www.sima-land.ru/3945630/igolnica-magnitnaya-d-10-5-cm-miks/	Независимо от вида рукоделия, почти всегда мы имеем дело с иголками. Благодаря магнитной игольнице хранение острых помощниц станет безопасным и надёжным. Кроме того, ваши иголки всегда будут под рукой, поэтому вам не придётся отвлекаться на их поиски в процессе создания рукотворного шедевра.
Цепочка для сумки, плоская, железная, 4,6 × 6,6 мм, 10 ± 0,5 м, цвет серебряный	Фурнитура для сумок	599	5	https://www.sima-land.ru/4336942/cepochka-dlya-sumki-ploskaya-zheleznaya-4-6-6-6-mm-10-0-5-m-cvet-serebryanyy/	Цепочка для сумки – это важная деталь, которая часто подвергается значительным нагрузкам, механическим воздействиям и находится в постоянном контакте с ладонью.  В мире моды не было такого периода, когда бы сумка на цепочке не попадала на подиумы  недели моды. Это дизайн, не подвластный времени, и с каждым годом он модернизируется и эффектно обновляется. 
Кружевная эластичная ткань, 190 мм × 2,7 ± 0,5 м, цвет шоколадный	Отделочные материалы	110	5	https://www.sima-land.ru/9911952/kruzhevnaya-elastichnaya-tkan-190-mm-2-7-0-5-m-cvet-shokoladnyy/	
Декор птица 13×4×4 см МИКС	Принадлежности для творчества	144	5	https://www.sima-land.ru/4569781/dekor-ptica-13-4-4-cm-miks/	Декор на прищепке птица прекрасно подходят для украшения  флористических композиций и  декора интерьера и других творческих поделок. Способ применения: с помощью прищепки, на которую приклеены птицы, их удобно использовать. Запаситесь фантазией и необходимыми материалами и создавайте красоту для своего загородного участка или флористических композиций.
Аппликация пайетками для детей «Волшебный единорог», набор для творчества	Аппликации	299	5	https://www.sima-land.ru/5066030/applikaciya-payetkami-dlya-detey-volshebnyy-edinorog-nabor-dlya-tvorchestva/	Яркие краски, любимый персонаж, творческий процесс - всё это спрятано в этой маленькой коробочке! Скорее открывай её!
Картон переплётный 2.5 мм, 30 х 40 см, 10 листов, 1500 г/м², серый	Бумага и бумажная продукция	641	5	https://www.sima-land.ru/5110005/karton-perepletnyy-2-5-mm-30-h-40-cm-10-listov-1500-g-m-seryy/	
