name	category	price	rating	url	description
Бусины для творчества пластик "Инь-ян" бело-чёрный набор 50 шт 0,4х0,7х0,7 см	Принадлежности для творчества	62	5	https://www.sima-land.ru/9896275/businy-dlya-tvorchestva-plastik-in-yan-belo-chernyy-nabor-50-sht-0-4h0-7h0-7-cm/	
Коробка - пакет, крафт, 15×15×8 см	Подарочная упаковка	31.9	5	https://www.sima-land.ru/9898512/korobka-paket-kraft-15-15-8-cm/	Подарочная коробка-пакет-  это удивительный способ представить ваш подарок и сделать его упаковку особенно привлекательной. Коробка-пакет имеет современный и стильный дизайн. Благодаря окну в упаковке, получатель сразу увидит часть содержимого, что создает интерес и ожидание. Наличие прочных ручек делает коробку-пакет легкой в переноске и придает упаковке дополнительное удобство. Коробка-пакет обычно изготавливается из качественного картона, что обеспечивает надежность и долговечность упаковки. Этот тип коробки идеально подходит для различных видов подарков, будь то одежда, книги, косметика, сладости или другие предметы. Она также может использоваться для оформления подарков на разные праздники и события. Коробку-пакет легко украсить с помощью лент, бантов, наклеек и других декоративных элементов, чтобы придать ей персональное оформление, соответствующее вашим предпочтениям и событию. Коробка-пакет  - это не только способ упаковать ваш подарок, но и создать удивительный момент ожидания для того, кто его получит. Ее функциональность и стильный дизайн делают ее отличным выбором для разных праздничных и специальных случаев.
Набор для раскопок «Подводный мир» фигурка, 2 камня + кисточка, долото	Наборы для творчества	115	5	https://www.sima-land.ru/9910995/nabor-dlya-raskopok-podvodnyy-mir-figurka-2-kamnya-plus-kistochka-doloto/	Набор для раскопок «Подводный мир» — набор юного археолога, который погрузит вашего ребенка в мир раскопок и изучение подводного мира. Он поможет вашему малышу развить любознательность и тягу к науке, его мелкую моторику рук. Преимущества Руководство по раскопкам С набором «Подводный мир» у ребёнка есть возможность устроить раскопки прямо у себя дома! Для этого нужно аккуратно снимать гипс стекой слой за слоем. А внутри слепка ждёт сюрприз. Благодаря этому ребёнок научится познавать подводный мир, а подогреет его мотивацию к познаниям интересная игрушка внутри гипсового слепка. Комплектация Рекомендовано для детей от 3 лет.
Набор бусин для рукоделия и плетения «Арт Узор. Сердце. Красный, белый, прозрачный», 20 г, пластик, 1.2×0.9×0.8 см	Принадлежности для творчества	80	5	https://www.sima-land.ru/9928038/nabor-busin-dlya-rukodeliya-i-pleteniya-art-uzor-serdce-krasnyy-belyy-prozrachnyy-20-g-plastik-1-2-0-9-0-8-cm/	
Милый браслетик «Джибитсы: Модница»	Изготовление украшений	119	5	https://www.sima-land.ru/9933641/milyy-brasletik-dzhibitsy-modnica/	Милый браслетик «Джибитсы: Модница» создан специально для маленьких модниц. Вы можете украсить его различными джибитсами, значками и украшениями, что позволит вашему ребёнку выделиться из толпы и выразить свою индивидуальность. Как использовать Особенности набора Рекомендовано детям от 3 лет.
Картина по номерам на холсте с подрамником «Кукла в платье», 30 х 40 см	Картины по номерам	249	3	https://www.sima-land.ru/10060279/kartina-po-nomeram-na-holste-s-podramnikom-kukla-v-plate-30-h-40-cm/	Подарите маленькому художнику картину по номерам, и через пару мгновений он создаст шедевр! Как раскрасить картину по номерам Готовая картина украсит детскую комнату или станет оригинальным подарком близкому человеку.
Фиксатор для ткани, магнитный, 4,5 × 1,3 × 0,3 см	Принадлежности для шитья	73	5	https://www.sima-land.ru/10206953/fiksator-dlya-tkani-magnitnyy-4-5-1-3-0-3-cm/	Магнитные фиксаторы — необходимый инструмент для тех, кто увлекается рукоделием. Они схватывают материалы, которые нельзя скрепить булавками, например, карманы сумок и многого другого, скрепляют плотную ткань, такую как холст или корк, а также отлично подходят для кожи и винила. Идеально подходят для шитья, скрепления бумаги и других работ. Больше никаких отверстий от булавок!  На один фиксатор нанесены три сильных магнита. 
Нить атласная для вышивания, 120D/2, 700 м, белая	Принадлежности для шитья	45	5	https://www.sima-land.ru/10242607/nit-atlasnaya-dlya-vyshivaniya-120d-2-700-m-belaya/	Атласные нити прочные и слегка эластичные, равномерные по толщине. Они имеют гладкую поверхность и блестящий вид. Атласные нити часто используются для создания декоративных элементов в одежде, аксессуарах и других текстильных изделиях. Также они могут использоваться для вышивки и других видов рукоделия. 
Наклейки из фетра «Транспорт», 11 х 18,5 см, 10 шт	Принадлежности для творчества	69	5	https://www.sima-land.ru/10477556/nakleyki-iz-fetra-transport-11-h-18-5-cm-10-sht/	 Наклейки – это отличный способ украсить совершенно любую вещь, которая наскучила. С помощью необходимой наклейки можно дополнить любой рисунок!  Особенности наклеек Рекомендовано для детей от 3 лет.
Молд силиконовый «Листья», универсальный, 10 × 7 × 0,5 см	Принадлежности для творчества	108	5	https://www.sima-land.ru/10616241/mold-silikonovyy-listya-universalnyy-10-7-0-5-cm/	
Подвеска для творчества акрил "Мишка-игрушка" МИКС 3,5х2,5х0,9 см	Принадлежности для творчества	20	0	https://www.sima-land.ru/10715294/podveska-dlya-tvorchestva-akril-mishka-igrushka-miks-3-5h2-5h0-9-cm/	
Замок-карабин СМ-556, (набор 10 шт.), d=9 мм, цвет золото	Фурнитура для бижутерии	97	3.7	https://www.sima-land.ru/1514909/zamok-karabin-cm-556-nabor-10-sht-d-9-mm-cvet-zoloto/	Карабин — надежный замок-застежка на пружинке, которая при нажатии отодвигает часть замка и при отпускании замыкает его. Этот механизм делает карабин простым в использовании и в то же время прочным, что особенно важно для изготовления украшений. Такой замок популярен среди мастеров, поскольку обеспечивает удобство и надежность при создании браслетов, цепочек и других изделий. В наборе представлено несколько карабинов, что идеально подходит для ваших творческих проектов.
Глаза винтовые с заглушками, набор 4 шт., размер 1 шт. 3 × 2,5 см	Создание игрушек и кукол	59	5	https://www.sima-land.ru/1553437/glaza-vintovye-s-zaglushkami-nabor-4-sht-razmer-1-sht-3-2-5-cm/	Винтовые глазки крепятся с помощью заглушек. Предназначены для создания мягких игрушек. Как крепить глаза на игрушку?
Переводные тату на тело цветные «Единороги в цветочных венках», 10.5×6 см	Принадлежности для творчества	11.7	5	https://www.sima-land.ru/5084757/perevodnye-tatu-na-telo-cvetnye-edinorogi-v-cvetochnyh-venkah-10-5-6-cm/	Позвольте себе или вашему ребёнку окунуться в мир волшебства и природной красоты с переводными татуировками, которые наполнят образ игривостью и нежностью. Размер 10.5×6 см идеально подходит для создания ярких акцентов, добавляя в повседневность или праздничный день особую атмосферу. Разноцветное исполнение рисунка создаёт ощущение сказки, а детализированные элементы делают его живым и привлекательным. Единороги в цветочных венках — это символ гармонии, доброты и магии, которые органично впишутся как в повседневный стиль, так и в праздничные образы. Универсальное место приклеивания позволяет разместить их на любом участке тела, делая их идеальным выбором для маленьких принцесс и их родителей. Эти татуировки — больше чем просто украшение. Это возможность исследовать мир фантазий, заявить о своей уникальности или подарить радость близким. Единороги в цветочных венках станут символом волшебства, напоминая о чудесах, гармонии и внутренней радости. Позвольте себе быть стильными и неповторимыми — начните создавать свой уникальный стиль уже сегодня!
Топпер для торта «День рождения», серебро	Оформление и организация праздника	29	5	https://www.sima-land.ru/7003916/topper-dlya-torta-den-rozhdeniya-serebro/	
Топпер для торта «С Днём Рождения», со стразами, золотой	Оформление и организация праздника	49	5	https://www.sima-land.ru/7303180/topper-dlya-torta-s-dnem-rozhdeniya-so-strazami-zolotoy-2/	Топпер подойдёт для украшения праздничного стола, букета, торта или пирожного. Тематический декор подарит праздничное настроение и станет акцентной деталью сервировки или подарка.
Пряжка регулирующая, двухщелевая, внутренняя ширина - 38 мм, толщина - 3,5 мм, 10 шт, цвет чёрный	Фурнитура для одежды	22.2	4.9	https://www.sima-land.ru/7582476/pryazhka-reguliruyuschaya-dvuhschelevaya-vnutrennyaya-shirina-38-mm-tolschina-3-5-mm-10-sht-cvet-chernyy/	
Наклейки в рулоне «Ассорти»,500 шт.,3.8×3.8 см	Флористика	82	5	https://www.sima-land.ru/7904710/nakleyki-v-rulone-assorti-500-sht-3-8-3-8-cm/	Декоративные наклейки - это яркое и веселое решение для творчества и самовыражения. Все, что вам нужно сделать, это отклеить их и наклеить, и они придадут вашим предметам новый стиль и характер. Преимущества:
