name	category	price	rating	url	description
Нитки вощёные, кручёные, круглые, 300D/3, 0.35 мм, 60 ± 2 м, молочные	Принадлежности для шитья	79	4.9	https://www.sima-land.ru/10530026/nitki-voschenye-kruchenye-kruglye-300d-3-0-35-mm-60-2-m-molochnye/	Вощёные нити используются при изготовлении и ремонте кожаных изделий. Это специальное волокно, обработанное восковым составом. Такие нитки необходимы для получения плотных швов на изделиях из толстой натуральной или искусственной кожи толщиной более 1 миллиметра. Например, на сумках средних и больших размеров, ремнях, обуви и многом другом. А также они используются в рукоделии для плетения различных аксессуаров.
Нитки вощёные, кручёные, круглые, 300D/3, 0.35 мм, 60 ± 2 м, серые	Принадлежности для шитья	79	4.9	https://www.sima-land.ru/10530028/nitki-voschenye-kruchenye-kruglye-300d-3-0-35-mm-60-2-m-serye/	Вощёные нити используются при изготовлении и ремонте кожаных изделий. Это специальное волокно, обработанное восковым составом. Такие нитки необходимы для получения плотных швов на изделиях из толстой натуральной или искусственной кожи толщиной более 1 миллиметра. Например, на сумках средних и больших размеров, ремнях, обуви и многом другом. А также они используются в рукоделии для плетения различных аксессуаров.
Краситель синтетический, жидкий, розовый неон, 10 гр	Мыловарение	160	5	https://www.sima-land.ru/10530386/krasitel-sinteticheskiy-zhidkiy-rozovyy-neon-10-gr/	
Интерьерные наклейки на стекло, окно «Бабочка», силикон, фосфорные, 20×16 см	Принадлежности для творчества	150	5	https://www.sima-land.ru/10536774/interernye-nakleyki-na-steklo-okno-babochka-silikon-fosfornye-20-16-cm/	
Наклейка пластик "Палитра сердечек" 20х9 см	Принадлежности для творчества	55	0	https://www.sima-land.ru/10536791/nakleyka-plastik-palitra-serdechek-20h9-cm/	
Альбом для акварели А4 40л, на склейке Гамма "Классический", 180г/м2	Бумага и бумажная продукция	256	0	https://www.sima-land.ru/10539306/albom-dlya-akvareli-a4-40l-na-skleyke-gamma-klassicheskiy-180g-m2/	В альбомах для акварели ГАММА серии «Классическая» используется бумага плотностью 180 г/м2 из 100% целлюлозы. Формат А4. Количество листов – 40 Бумага хорошо впитывает влагу, не коробится от воздействия воды. Аккуратный отрыв обеспечивает склейка по короткой стороне Альбом подходит для акварели, гуаши, акрила, акварельных карандашей и смешанных техник. Альбом можно использовать на пленэре: твердая подложка служит в качестве планшета
Набор для выращивания, карандаши подарочные «Маргаритка + гвоздика», mini, простые чернографитные, 2 шт.	Флористика	93	0	https://www.sima-land.ru/10640204/nabor-dlya-vyraschivaniya-karandashi-podarochnye-margaritka-plus-gvozdika-mini-prostye-chernografitnye-2-sht/	
Декор для творчества металл, эмаль "Инь-ян" серебро 1,1х1,5 см	Принадлежности для творчества	13	0	https://www.sima-land.ru/10645284/dekor-dlya-tvorchestva-metall-emal-in-yan-serebro-1-1h1-5-cm/	
Сухоцветы для декора «Цветочная поляна», в футляре, МИКС	Маникюр и педикюр	99	5	https://www.sima-land.ru/10658541/suhocvety-dlya-dekora-cvetochnaya-polyana-v-futlyare-miks/	Погрузитесь в мир креативного маникюра с уникальными сухоцветами от QF, представленными в четырех разнообразных вариантах! Эти изысканные элементы декора идеально подойдут для создания неповторимого дизайна ногтей. Особенности: Создайте уникальные акценты в вашем маникюре и удивите окружающих своим творчеством! Набор прекрасно подойдет как для профессионалов, так и для любителей. Не упустите возможность добавить привкус природы в свой образ!
Фигурки для декора «Готика», объёмные, металлические, цвет серебристый	Маникюр и педикюр	78	5	https://www.sima-land.ru/10660611/figurki-dlya-dekora-gotika-obemnye-metallicheskie-cvet-serebristyy/	Если Вы перепробовали все варианты дизайна маникюра, но хотите попробовать что-то новое, то эти декоративные элементы точно придутся Вам по душе. Такой декор отлично развивает фантазию и позволяет поэкспериментировать с дизайном и цветом ногтей. Декор универсальный, подойдет не только для создания прекрасного маникюра, но и для различных поделок и украшений. Объемные фигурки для ногтей - это необычное дополнение к любому маникюру. Дизайн 3D сделает Ваш маникюр неповторимым и будет привлекать внимание. На что приклеивать фигурки для ногтей от Queen Fair (QF)
