name	category	price	rating	url	description
Заготовка - подвеска «Шар», раздельные части, диаметр собранного: 13.6 см	Принадлежности для творчества	209	5	https://www.sima-land.ru/3142066/zagotovka-podveska-shar-razdelnye-chasti-diametr-sobrannogo-13-6-cm/	Заготовка-подвеска «Шар» диаметром 13.6 см — универсальная основа для творчества, которая поможет создать уникальные украшения и сувениры. Эта пластиковая конструкция идеально подходит для новогоднего декора, креативных подарков и сувениров на память. Особенности Преимущества Варианты использования Эта заготовка станет идеальной базой для вашего вдохновения, делая подготовку к праздникам яркой и креативной!
Набор из спилов дерева «Сосновый», набор 40 шт, 4 вида спилов	Принадлежности для творчества	125	4.8	https://www.sima-land.ru/4429904/nabor-iz-spilov-dereva-sosnovyy-nabor-40-sht-4-vida-spilov/	
Метафорические ассоциативные карты «Аффирмации» и Книга Желаний, 50 карт (7х12 см), 16+	Психология и эзотерика	643	5	https://www.sima-land.ru/9714017/metaforicheskie-associativnye-karty-affirmacii-i-kniga-zhelaniy-50-kart-7h12-cm-16-plus/	Мы все мечтаем, и у каждого из нас есть заветные желания. Что-то исполняется сразу, а что-то на протяжении долгих лет остаётся недостижимым идеалом. Так почему же не сбываются желания? Почему одно приходит в нашу жизнь так просто, а другое никак не даётся в руки? Данный набор поможет научится правильно формулировать желания и овладеть техниками привлечения желаемого. Состав: И пусть желания исполнятся!
Наклейки многоразовые набор «Для девочек», 3 шт., формат А4	Детские книги	393	4.7	https://www.sima-land.ru/3950994/nakleyki-mnogorazovye-nabor-dlya-devochek-3-sht-format-a4/	Набор многоразовых детских наклеек включает в себя 3 издания разной тематики: «Одень куколку», «Мир пони» и «Юный повар». Занятия с такими книгами помогут потренировать новые навыки, воображение и мелкую моторику пальчиков. Что внутри В каждой книге вы найдёте много красочных наклеек и поле для них. Яркие стикеры можно использовать по 3‒4 раза. Подходят для декорирования тетрадей и дневничков. Чем полезны С многоразовыми наклейками ребёнок составит стильные наряды для кукол, придумает и украсит кулинарный шедевр, познакомится со сказочными пони, а также потренирует воображение, аккуратность, пространственное мышление и мелкую моторику рук. В серии «Увлекательные наклейки» 10 изданий: Соберите всю серию наклеек и расширяйте кругозор малыша! Рекомендовано для детей от 2 лет.
Часовой механизм со стрелками "Соломон-5", плавный ход, шток 16 мм, стрелки 70/95/115 мм	Часы	106	5	https://www.sima-land.ru/7563030/chasovoy-mehanizm-so-strelkami-solomon-5-plavnyy-hod-shtok-16-mm-strelki-70-95-115-mm/	
Лента атласная, 25 мм × 23±1 м, светло-коричневая №136	Ленты	80	5	https://www.sima-land.ru/3019804/lenta-atlasnaya-25-mm-23-1-m-svetlo-korichnevaya-136/	Декоративная атласная лента – это идеальный спутник для вашего творчества и праздников. Праздничный тренд, который всегда будет к месту. Упаковочная ленточка прекрасно подойдет для рукоделия, украшения подарков и создания удивительных композиций из воздушных шаров. Вы можете украсить букеты цветов, привязав к ним яркую ленточку. Это добавит особого очарования вашему подарку. Игрушки также можно сделать более интересными, если использовать красивую упаковочную ленту в оформлении. Она идеально подойдет для новогодних сюрпризов и рождественских даров. На дни рождения и другие важные события не обойтись без новогодней подарочной ленты. Упаковка коробок со сладкими подарками станет настоящим искусством с этой великолепной деталью. Она отлично сможет дополнить ваши идеи на 14 февраля, 23 февраля, 8 марта или в день матери. Кроме того, такая лента может стать оригинальным украшением на голове именинницы! Сделайте супер банты первоклассника или создайте необычный аксессуар для вечеринки. Ленты идеально подходят для шитья одежды, ведь они могут добавить немного волшебства каждому изделию. Наши ленточки не содержат люрекса, что делает их особенно приятными на ощупь и легко сочетаемыми с любыми материалами. Упаковочная лента займет достойное место в наборе швейной фурнитуры для творчества как тесьма. Благодаря своей универсальности она найдет применение в самых разных проектах. Если вы хотите украсить мероприятие или помочь с декором? Эта продукция станет незаменимой при создании флористических композиций. Завязывайте косички на девичник узкими атласными полосками, чтобы добавить романтики и стиля вашим праздникам. Не бойтесь проявлять фантазию! Делая ободки и бантики из этой чудесной ленточки, вы сможете создать уникальные украшения для волос и вечеринок. Создавайте шикарные розы своими руками – этот процесс принесет радость вам и всем вокруг! И не забудьте о праздничных елках! Используйте яркую упаковочную ленту, чтобы делать роскошные бантики прямо на ели. Это увидят все гости во время новогоднего веселья! Погрузитесь в мир творчества с атласной лентой! Ваши идеи будут воплощены легко и приятно, а результаты порадуют окружающих. Пусть каждое ваше творение станет произведением искусства! Атласная лента гладкая и приятная на ощупь. Используйте её для отделки изделий, украшения подарков, свадебного оформления, а также в техниках скрапбукинг и канзаши. При производстве лент используется только современное оборудование и качественные материалы.
Растущие игрушки в пакете «Мини шарики», МИКС	Игрушки для развлечений	11.5	4.9	https://www.sima-land.ru/4878469/rastuschie-igrushki-v-pakete-mini-shariki-miks/	Растущие игрушки точно удивят вашего малыша! При игре с такими наборчиками, малыш развивает мелкую моторику, зрительное восприятие и творческое мышление. Уникальный набор подарит бесконечный простор для воображения! Ребенок может играть так, как захочет, каждый раз придумывая новый сюжет. Деткам будет интересно следить за тем, как начинают расти игрушки, они с удовольствием проведут свои первые маленькие опыты.
Краска акриловая матовая в тубе, CALLIGRATA, Лиловый светлый, пантон 265С, 75мл	Товары для художников	39.7	5	https://www.sima-land.ru/9953661/kraska-akrilovaya-matovaya-v-tube-calligrata-lilovyy-svetlyy-panton-265s-75ml/	Художественные акриловые краски Calligrata объемом банки 75 мл, предназначены для разных художественных, декоративных и дизайнерских работ. Красками можно работать бумага, картон, грунтованный холст, дерево. Для достижения необходимой консистенции используйте загустители или разбавители для акриловых красок. Рекомендация: при работе с гладкими поверхностями используйте грунт. Характеристики: 
Краска акриловая матовая в тубе 75мл CALLIGRATA, КМ006, Умбра жженая, пантон 476С	Товары для художников	55	4.3	https://www.sima-land.ru/9953660/kraska-akrilovaya-matovaya-v-tube-75ml-calligrata-km006-umbra-zhzhenaya-panton-476s/	Художественные акриловые краски Calligrata объемом банки 75 мл, предназначены для разных художественных, декоративных и дизайнерских работ. Красками можно работать бумага, картон, грунтованный холст, дерево. Для достижения необходимой консистенции используйте загустители или разбавители для акриловых красок. Рекомендация: при работе с гладкими поверхностями используйте грунт. Характеристики: 
Лента капроновая «Горох», 15 мм, 23±1 м, белая	Ленты	115	5	https://www.sima-land.ru/6784800/lenta-kapronovaya-goroh-15-mm-23-1-m-belaya/	
